Domain,Unique Identifier,Name,Description,Last Change Date
Result Time Basis(ResultTimeBasisText),142,Week 17,Week # of Survey,9/29/2014 12:00:00 AM
Result Time Basis(ResultTimeBasisText),143,Week 18,Week # of Survey,9/29/2014 12:00:00 AM
Result Time Basis(ResultTimeBasisText),144,Week 19,Week # of Survey,9/29/2014 12:00:00 AM
Result Time Basis(ResultTimeBasisText),127,Week 2,Week # of Survey,9/24/2014 12:00:00 AM
Result Time Basis(ResultTimeBasisText),128,Week 3,Week # of Survey,9/24/2014 12:00:00 AM
Result Time Basis(ResultTimeBasisText),129,Week 4,Week # of Survey,9/24/2014 12:00:00 AM
Result Time Basis(ResultTimeBasisText),130,Week 5,Week # of Survey,9/24/2014 12:00:00 AM
Result Time Basis(ResultTimeBasisText),131,Week 6,Week # of Survey,9/24/2014 12:00:00 AM
Result Time Basis(ResultTimeBasisText),132,Week 7,Week # of Survey,9/24/2014 12:00:00 AM
Result Time Basis(ResultTimeBasisText),133,Week 8,Week # of Survey,9/24/2014 12:00:00 AM
Result Time Basis(ResultTimeBasisText),134,Week 9,Week # of Survey,9/24/2014 12:00:00 AM
Result Time Basis(ResultTimeBasisText),120,Weekly,"done, produced, or occurring once a week; periodical issued every week.",1/19/2016 8:13:28 AM
Result Time Basis(ResultTimeBasisText),123,Winter,12/21 thru 3/20 of the annual calendar year,4/17/2014 12:00:00 AM
Result Time Basis(ResultTimeBasisText),38,Yearly,"done, produced, or occurring every year or every year; annual event",7/26/2006 10:57:47 AM

