Domain,Unique Identifier,Code,Name,State Code,EPA Region Code,EPA Name,EPA Identifier,Last Change Date
Tribe(TribalCode),573,	410,"Minnesota Chippewa Tribe, Minnesota (White Earth Band)",MN,5,"Minnesota Chippewa Tribe, Minnesota (White Earth Band)**",100000576,7/26/2017 8:00:23 AM
Tribe(TribalCode),96,	411,Shakopee Mdewakanton Sioux Community of Minnesota,MN,5,Shakopee Mdewakanton Sioux Community of Minnesota,100000269,7/26/2006 10:57:50 AM
Tribe(TribalCode),586,	415,Lower Sioux Indian Community in the State of Minnesota **duplicate**,MN,5,Lower Sioux Indian Community in the State of Minnesota (previously listed as the Lower Sioux Indian Community of Minnesota Mdewakanton Sioux Indians of the Lower Sioux Reservation in Minnesota),,8/9/2023 11:24:13 AM
Tribe(TribalCode),663,	417,Bois Forte Band of Chippewa,,,,,1/22/2020 9:49:05 AM
Tribe(TribalCode),665,	424,Qagan Toyagungin Tribe of Sand Point Village,,,,,1/22/2020 9:49:05 AM
Tribe(TribalCode),98,	430,"Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin",WI,5,"Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin",100000012,7/26/2006 10:57:50 AM
Tribe(TribalCode),99,	431,Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin,WI,5,Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin,100000134,7/26/2006 10:57:50 AM
Tribe(TribalCode),100,	432,Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin,WI,5,Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin,100000135,7/26/2006 10:57:50 AM
Tribe(TribalCode),101,	433,Oneida Tribe of Indians of Wisconsin,WI,5,Oneida Nation,100000183,7/26/2006 10:57:50 AM
Tribe(TribalCode),102,	434,"Forest County Potawatomi Community, Wisconsin",WI,5,"Forest County Potawatomi Community, Wisconsin",100000085,7/26/2006 10:57:50 AM
Tribe(TribalCode),103,	435,Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin,WI,5,Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin,100000236,7/26/2006 10:57:50 AM
Tribe(TribalCode),104,	436,St. Croix Chippewa Indians of Wisconsin,WI,5,St. Croix Chippewa Indians of Wisconsin,100000250,7/26/2006 10:57:50 AM
Tribe(TribalCode),105,	437,"Sokaogon Chippewa Community, Wisconsin",WI,5,"Sokaogon Chippewa Community, Wisconsin",100000284,7/26/2006 10:57:50 AM
Tribe(TribalCode),106,	438,"Stockbridge Munsee Community, Wisconsin",WI,5,"Stockbridge Munsee Community, Wisconsin",100000290,7/26/2006 10:57:50 AM
Tribe(TribalCode),107,	439,Ho-Chunk Nation of Wisconsin,WI,5,Ho-Chunk Nation of Wisconsin,100000101,7/26/2006 10:57:50 AM
Tribe(TribalCode),108,	440,Menominee Indian Tribe of Wisconsin,WI,5,Menominee Indian Tribe of Wisconsin,100000155,7/26/2006 10:57:50 AM
Tribe(TribalCode),109,	468,"Grand Traverse Band of Ottawa and Chippewa Indians, Michigan",MI,5,"Grand Traverse Band of Ottawa and Chippewa Indians, Michigan",100000094,7/26/2006 10:57:50 AM
Tribe(TribalCode),110,	469,Sault Ste. Marie Tribe of Chippewa Indians of Michigan,MI,5,"Sault Ste. Marie Tribe of Chippewa Indians, Michigan",100000263,7/26/2006 10:57:50 AM
Tribe(TribalCode),111,	470,"Bay Mills Indian Community, Michigan",MI,5,"Bay Mills Indian Community, Michigan",100000013,7/26/2006 10:57:50 AM
Tribe(TribalCode),112,	471,"Hannahville Indian Community, Michigan",MI,5,"Hannahville Indian Community, Michigan",100000099,7/26/2006 10:57:50 AM
Tribe(TribalCode),113,	472,Saginaw Chippewa Indian Tribe of Michigan,MI,5,Saginaw Chippewa Indian Tribe of Michigan,100000249,7/26/2006 10:57:50 AM
Tribe(TribalCode),676,	473,Lac Vieux Desert Band of Lake Superior Chippewa Indians,,,,,1/22/2020 9:49:05 AM
Tribe(TribalCode),114,	475,"Keweenaw Bay Indian Community, Michigan",MI,5,"Keweenaw Bay Indian Community, Michigan",100000124,7/26/2006 10:57:50 AM
Tribe(TribalCode),115,	479,"Lac Vieux Desert Band of Lake Superior Chippewa Indians, Michigan",MI,5,Lac Vieux Desert Band of Lake Superior Chippewa Indians of Michigan,100000136,7/26/2006 10:57:50 AM
Tribe(TribalCode),116,	480,"Pokagon Band of Potawatomi Indians, Michigan and Indiana",IN; MI,5,"Pokagon Band of Potawatomi Indians, Michigan and Indiana",100000205,7/26/2006 10:57:50 AM
Tribe(TribalCode),117,	481,"Huron Potawatomi, Inc., Michigan",MI,5,"Nottawaseppi Huron Band of the Potawatomi, Michigan",100000178,7/26/2006 10:57:50 AM
Tribe(TribalCode),118,	482,"Little River Band of Ottawa Indians, Michigan",MI,5,"Little River Band of Ottawa Indians, Michigan",100000138,7/26/2006 10:57:50 AM
Tribe(TribalCode),119,	483,"Little Traverse Bay Bands of Odawa Indians, Michigan",MI,5,"Little Traverse Bay Bands of Odawa Indians, Michigan",100000139,7/26/2006 10:57:50 AM
Tribe(TribalCode),120,	484,Match-e-be-nash-she-wish Band of Pottawatomi Indians of Michigan,MI,5,Match-e-be-nash-she-wish Band of Pottawatomi Indians of Michigan,100000153,7/26/2006 10:57:50 AM
Tribe(TribalCode),121,	490,Sac & Fox Tribe of the Mississippi in Iowa,IA,7,Sac & Fox Tribe of the Mississippi in Iowa,100000246,7/26/2006 10:57:50 AM
Tribe(TribalCode),122,	502,"Alturas Indian Rancheria, California",CA,9,"Alturas Indian Rancheria, California",100000006,7/26/2006 10:57:50 AM
Tribe(TribalCode),123,	503,Scotts Valley Band of Pomo Indians of California,CA,9,Scotts Valley Band of Pomo Indians of California,100000264,7/26/2006 10:57:50 AM
Tribe(TribalCode),124,	504,Berry Creek Rancheria of Maidu Indians of California,CA,9,Berry Creek Rancheria of Maidu Indians of California,100000015,7/26/2006 10:57:50 AM
Tribe(TribalCode),125,	505,Guidiville Rancheria of California,CA,9,Guidiville Rancheria of California,100000097,5/6/2020 11:15:28 AM
Tribe(TribalCode),126,	506,Big Sandy Rancheria of Mono Indians of California,CA,9,Big Sandy Rancheria of Western Mono Indians of California,100000018,7/26/2006 10:57:50 AM
Tribe(TribalCode),127,	507,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",CA,9,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",100000019,7/26/2006 10:57:50 AM
Tribe(TribalCode),128,	508,Buena Vista Rancheria of Me-Wuk Indians of California,CA,9,Buena Vista Rancheria of Me-Wuk Indians of California,100000023,7/26/2006 10:57:50 AM
Tribe(TribalCode),129,	509,Lytton Rancheria of California,CA,9,Lytton Rancheria of California,100000147,7/26/2006 10:57:50 AM
Tribe(TribalCode),130,	510,Cloverdale Rancheria of Pomo Indians of California,CA,9,Cloverdale Rancheria of Pomo Indians of California,100000047,7/26/2006 10:57:50 AM
Tribe(TribalCode),131,	511,Cold Springs Rancheria of Mono Indians of California,CA,9,Cold Springs Rancheria of Mono Indians of California,100000050,7/26/2006 10:57:50 AM
Tribe(TribalCode),132,	512,"Cachil DeHe Band of Wintun Indians of the Colusa Indian Community of the Colusa Rancheria, California",CA,9,"Cachil DeHe Band of Wintun Indians of the Colusa Indian Community of the Colusa Rancheria, California",100000026,7/26/2006 10:57:50 AM
Tribe(TribalCode),133,	513,Cortina Indian Rancheria of Wintun Indians of California,CA,9,Kletsel Dehe Band of Wintun Indians,100000064,7/26/2006 10:57:50 AM
Tribe(TribalCode),681,	514,Cloverdale Rancheria of Pomo Indians,,,,,1/22/2020 9:49:05 AM
Tribe(TribalCode),134,	515,Dry Creek Rancheria of Pomo Indians of California,CA,9,"Dry Creek Rancheria Band of Pomo Indians, California",100000074,7/26/2006 10:57:50 AM
Tribe(TribalCode),135,	516,Robinson Rancheria of Pomo Indians of California,CA,9,Robinson Rancheria,100000243,7/26/2006 10:57:50 AM
Tribe(TribalCode),136,	517,Enterprise Rancheria of Maidu Indians of California,CA,9,Enterprise Rancheria of Maidu Indians of California,100000081,7/26/2006 10:57:50 AM
Tribe(TribalCode),137,	518,Fort Bidwell Indian Community of the Fort Bidwell Reservation of California,CA,9,Fort Bidwell Indian Community of the Fort Bidwell Reservation of California,100000087,7/26/2006 10:57:50 AM
Tribe(TribalCode),138,	519,Grindstone Indian Rancheria of Wintun- Wailaki Indians of California,CA,9,Grindstone Indian Rancheria of Wintun-Wailaki Indians of California,100000096,7/26/2006 10:57:50 AM
Tribe(TribalCode),139,	520,"Utu Utu Gwaitu Paiute Tribe of the Benton Paiute Reservation, California",CA,9,"Utu Utu Gwaitu Paiute Tribe of the Benton Paiute Reservation, California",100000320,7/26/2006 10:57:50 AM
Tribe(TribalCode),140,	521,"Hopland Band of Pomo Indians of the Hopland Rancheria, California",CA,9,"Hopland Band of Pomo Indians, California",100000105,7/26/2006 10:57:50 AM
Tribe(TribalCode),141,	522,Jackson Rancheria of Me-Wuk Indians of California,CA,9,Jackson Band of Miwuk Indians,100000113,7/26/2006 10:57:50 AM
Tribe(TribalCode),142,	523,Chicken Ranch Rancheria of Me-Wuk Indians of California,CA,9,Chicken Ranch Rancheria of Me-Wuk Indians of California,100000042,7/26/2006 10:57:50 AM
Tribe(TribalCode),143,	524,"Cahto Indian Tribe of the Laytonville Rancheria, California",CA,9,Cahto Tribe of the Laytonville Rancheria,100000029,7/26/2006 10:57:50 AM
Tribe(TribalCode),144,	525,"Fort Independence Indian Community of Paiute Indians of the Fort Independence Reservation, California",CA,9,"Fort Independence Indian Community of Paiute Indians of the Fort Independence Reservation, California",100000088,7/26/2006 10:57:50 AM
Tribe(TribalCode),145,	527,"Manchester Band of Pomo Indians of the Manchester-Point Arena Rancheria, California",CA,9,"Manchester Band of Pomo Indians of the Manchester Rancheria, California",100000149,7/26/2006 10:57:50 AM
Tribe(TribalCode),146,	528,Middletown Rancheria of Pomo Indians of California,CA,9,Middletown Rancheria of Pomo Indians of California,100000160,7/26/2006 10:57:50 AM
Tribe(TribalCode),147,	529,Ione Band of Miwok Indians of California,CA,9,Ione Band of Miwok Indians of California,100000110,7/26/2006 10:57:50 AM
Tribe(TribalCode),148,	530,"Big Pine Band of Owens Valley Paiute Shoshone Indians of the Big Pine Reservation, California",CA,9,Big Pine Paiute Tribe of the Owens Valley,100000017,7/26/2006 10:57:50 AM
Tribe(TribalCode),149,	531,"Mechoopda Indian Tribe of Chico Rancheria, California",CA,9,"Mechoopda Indian Tribe of Chico Rancheria, California",100000154,7/26/2006 10:57:50 AM
Tribe(TribalCode),150,	532,Northfork Rancheria of Mono Indians of California,CA,9,Northfork Rancheria of Mono Indians of California,100000176,7/26/2006 10:57:50 AM
Tribe(TribalCode),151,	533,Paskenta Band of Nomlaki Indians of California,CA,9,Paskenta Band of Nomlaki Indians of California,100000194,7/26/2006 10:57:50 AM
